"measuredItemCPC","measuredItemCPC_description","geographicAreaM49","geographicAreaM49_description","timePointYears","timePointYears_description","Value"
"01349.10","Pome fruit n.e.","380","Italy","2017","2017",NA
"01349.10","Pome fruit n.e.","380","Italy","2018","2018",0
"01349.10","Pome fruit n.e.","380","Italy","2019","2019",0
"01349.10","Pome fruit n.e.","380","Italy","2020","2020",513.50361432
"01349.20","Stone fruit, n.e.","380","Italy","2015","2015",25178.718908464
"01349.20","Stone fruit, n.e.","4","Afghanistan","2015","2015",170121.179078592
"01349.20","Stone fruit, n.e.","380","Italy","2016","2016",24969.09347912
"01349.20","Stone fruit, n.e.","4","Afghanistan","2016","2016",160681.272647488
"01349.20","Stone fruit, n.e.","380","Italy","2017","2017",25124.622023472
"01349.20","Stone fruit, n.e.","4","Afghanistan","2017","2017",162287.273920688
"01349.20","Stone fruit, n.e.","380","Italy","2018","2018",0
"01349.20","Stone fruit, n.e.","4","Afghanistan","2018","2018",164363.241882256
"01349.20","Stone fruit, n.e.","380","Italy","2019","2019",0
"01349.20","Stone fruit, n.e.","4","Afghanistan","2019","2019",162442.80246504
"01349.20","Stone fruit, n.e.","380","Italy","2020","2020",20523.00574384
"01349.20","Stone fruit, n.e.","4","Afghanistan","2020","2020",163031.106089328
"01351.01","Currants","380","Italy","2015","2015",1406.638443962
"01351.01","Currants","380","Italy","2016","2016",1246.58330373
"01351.01","Currants","380","Italy","2017","2017",1234.271369866
"01351.01","Currants","380","Italy","2018","2018",369.35801592
"01351.01","Currants","380","Italy","2019","2019",1477.43206368
"01351.01","Currants","380","Italy","2020","2020",1169.63371708
"01352","Kiwi fruit","380","Italy","2015","2015",554851.215830344
"01352","Kiwi fruit","380","Italy","2016","2016",485362.02398546
"01352","Kiwi fruit","380","Italy","2017","2017",501635.1555682
"01352","Kiwi fruit","380","Italy","2018","2018",521138.81199092
"01352","Kiwi fruit","380","Italy","2019","2019",486191.67096732
"01352","Kiwi fruit","380","Italy","2020","2020",483447.81055804
"01353.01","Raspeberries","380","Italy","2015","2015",7119.327572808
"01353.01","Raspeberries","380","Italy","2016","2016",7141.59535342
"01353.01","Raspeberries","380","Italy","2017","2017",7243.390921932
"01353.01","Raspeberries","380","Italy","2018","2018",6330.41191684
"01353.01","Raspeberries","380","Italy","2019","2019",7252.93425648
"01353.01","Raspeberries","380","Italy","2020","2020",7730.10098388
"01354","Strawberries","380","Italy","2015","2015",233718.708144859
"01354","Strawberries","380","Italy","2016","2016",214552.980742212
"01354","Strawberries","380","Italy","2017","2017",204593.854357445
"01354","Strawberries","380","Italy","2018","2018",194611.87470774
"01354","Strawberries","380","Italy","2019","2019",204259.21726371
"01354","Strawberries","380","Italy","2020","2020",198807.08119993
"01355.01","Blueberries","380","Italy","2015","2015",4162.212251252
"01355.01","Blueberries","380","Italy","2016","2016",4125.093830462
"01355.01","Blueberries","380","Italy","2017","2017",4134.992076006
"01355.01","Blueberries","380","Italy","2018","2018",0
"01355.01","Blueberries","380","Italy","2019","2019",0
"01355.01","Blueberries","380","Italy","2020","2020",16703.2893555
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2015","2015",98878.721896776
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2015","2015",39931.60694016
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2016","2016",97317.29367668
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2016","2016",36607.172676472
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2017","2017",47994.71988
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2017","2017",34479.406761792
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2018","2018",0
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2018","2018",47450.77972136
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2019","2019",10222.87533444
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2019","2019",48986.61075752
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","380","Italy","2020","2020",2207.75711448
"01355.90","Other berries and fruits of the genus Vaccinium n.e.","4","Afghanistan","2020","2020",44430.312016912
"01356","Locust beans (carobs)","380","Italy","2015","2015",9250.750055124
"01356","Locust beans (carobs)","380","Italy","2016","2016",8488.60939485
"01356","Locust beans (carobs)","380","Italy","2017","2017",8484.20735022
"01356","Locust beans (carobs)","380","Italy","2018","2018",8741.286756612
"01356","Locust beans (carobs)","380","Italy","2019","2019",8741.286756612
"01356","Locust beans (carobs)","380","Italy","2020","2020",8741.286756612
"01359.01","Persimmons","380","Italy","2015","2015",17348.993502786
"01359.01","Persimmons","380","Italy","2016","2016",17827.060522938
"01359.01","Persimmons","380","Italy","2017","2017",18211.640510775
"01359.01","Persimmons","380","Italy","2018","2018",17795.898178833
"01359.01","Persimmons","380","Italy","2019","2019",17795.898178833
"01359.01","Persimmons","380","Italy","2020","2020",17795.898178833
"01359.90","Other fruits, n.e.","4","Afghanistan","2015","2015",27286.40794162
"01359.90","Other fruits, n.e.","380","Italy","2015","2015",24960.613440298
"01359.90","Other fruits, n.e.","4","Afghanistan","2016","2016",26285.72060781
"01359.90","Other fruits, n.e.","380","Italy","2016","2016",25010.326387074
"01359.90","Other fruits, n.e.","4","Afghanistan","2017","2017",26910.560921598
"01359.90","Other fruits, n.e.","380","Italy","2017","2017",25042.89693841
"01359.90","Other fruits, n.e.","4","Afghanistan","2018","2018",26827.420303714
"01359.90","Other fruits, n.e.","380","Italy","2018","2018",25004.755108556
"01359.90","Other fruits, n.e.","4","Afghanistan","2019","2019",26674.424424412
"01359.90","Other fruits, n.e.","380","Italy","2019","2019",25004.755108556
"01359.90","Other fruits, n.e.","4","Afghanistan","2020","2020",26804.27806987
"01359.90","Other fruits, n.e.","380","Italy","2020","2020",25004.755108556
"01371","Almonds, in shell","380","Italy","2015","2015",355943.259416773
"01371","Almonds, in shell","4","Afghanistan","2015","2015",122589.813318642
"01371","Almonds, in shell","380","Italy","2016","2016",377102.971069768
"01371","Almonds, in shell","4","Afghanistan","2016","2016",166056.967698761
"01371","Almonds, in shell","380","Italy","2017","2017",402459.232465173
"01371","Almonds, in shell","4","Afghanistan","2017","2017",137985.589180857
"01371","Almonds, in shell","380","Italy","2018","2018",403475.5053546
"01371","Almonds, in shell","4","Afghanistan","2018","2018",173995.019621151
"01371","Almonds, in shell","380","Italy","2019","2019",390835.2952871
"01371","Almonds, in shell","4","Afghanistan","2019","2019",193167.690251535
"01371","Almonds, in shell","380","Italy","2020","2020",407115.88585404
"01371","Almonds, in shell","4","Afghanistan","2020","2020",198739.494849289
"01373","Chestnuts, in shell","380","Italy","2015","2015",84954.428523801
"01373","Chestnuts, in shell","380","Italy","2016","2016",88678.787419665
"01373","Chestnuts, in shell","380","Italy","2017","2017",89140.995042494
"01373","Chestnuts, in shell","380","Italy","2018","2018",54714.03592983
"01373","Chestnuts, in shell","380","Italy","2019","2019",66711.41068846
"01373","Chestnuts, in shell","380","Italy","2020","2020",83013.82395575
"01374","Hazelnuts, in shell","380","Italy","2015","2015",349124.629556547
"01374","Hazelnuts, in shell","380","Italy","2016","2016",414142.192132188
"01374","Hazelnuts, in shell","380","Italy","2017","2017",450925.597363449
"01374","Hazelnuts, in shell","380","Italy","2018","2018",455799.5960583
"01374","Hazelnuts, in shell","380","Italy","2019","2019",338432.05877637
"01374","Hazelnuts, in shell","380","Italy","2020","2020",482797.22096424
"01375","Pistachios, in shell","4","Afghanistan","2015","2015",17103.658384068
"01375","Pistachios, in shell","380","Italy","2015","2015",24127.261352872
"01375","Pistachios, in shell","4","Afghanistan","2016","2016",17209.698570986
"01375","Pistachios, in shell","380","Italy","2016","2016",22761.214239046
"01375","Pistachios, in shell","4","Afghanistan","2017","2017",17259.599835418
"01375","Pistachios, in shell","380","Italy","2017","2017",24158.449643142
"01375","Pistachios, in shell","4","Afghanistan","2018","2018",17184.74793877
"01375","Pistachios, in shell","380","Italy","2018","2018",23684.387631038
"01375","Pistachios, in shell","4","Afghanistan","2019","2019",17240.886861256
"01375","Pistachios, in shell","380","Italy","2019","2019",23684.387631038
"01375","Pistachios, in shell","4","Afghanistan","2020","2020",17303.263441796
"01375","Pistachios, in shell","380","Italy","2020","2020",23684.387631038
"01376","Walnuts, in shell","380","Italy","2015","2015",38052.735426075
"01376","Walnuts, in shell","4","Afghanistan","2015","2015",11521.56651225
"01376","Walnuts, in shell","380","Italy","2016","2016",38526.224460825
"01376","Walnuts, in shell","4","Afghanistan","2016","2016",20565.207075975
"01376","Walnuts, in shell","380","Italy","2017","2017",38475.718963785
"01376","Walnuts, in shell","4","Afghanistan","2017","2017",22553.861021925
"01376","Walnuts, in shell","380","Italy","2018","2018",39299.58988425
"01376","Walnuts, in shell","4","Afghanistan","2018","2018",34103.83687626
"01376","Walnuts, in shell","380","Italy","2019","2019",34091.210502
"01376","Walnuts, in shell","4","Afghanistan","2019","2019",46370.35946985
"01376","Walnuts, in shell","380","Italy","2020","2020",48895.63432185
"01376","Walnuts, in shell","4","Afghanistan","2020","2020",46960.642466505
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2015","2015",5666.4359092
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2015","2015",4249.8269319
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2016","2016",5478.413263122
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2016","2016",3528.64417982
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2017","2017",5488.715873866
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2017","2017",3724.393783956
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2018","2018",0
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2018","2018",3835.146849454
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2019","2019",9916.2628411
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2019","2019",3696.06160441
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","380","Italy","2020","2020",10663.20212004
"01379.90","Other nuts (excluding wild edible nuts and groundnuts), in shell, n.e.","4","Afghanistan","2020","2020",3750.150310816
"0141","Soya beans","380","Italy","2015","2015",427205.714168996
"0141","Soya beans","380","Italy","2016","2016",413573.92237252
"0141","Soya beans","380","Italy","2017","2017",390029.803883118
"0141","Soya beans","380","Italy","2018","2018",453736.4962053
"0141","Soya beans","380","Italy","2019","2019",398845.22302674
"0141","Soya beans","380","Italy","2020","2020",384617.55188514
"0142","Groundnuts, excluding shelled","380","Italy","2015","2015",NA
"0142","Groundnuts, excluding shelled","380","Italy","2016","2016",NA
"0142","Groundnuts, excluding shelled","380","Italy","2017","2017",NA
"0142","Groundnuts, excluding shelled","380","Italy","2018","2018",NA
"0142","Groundnuts, excluding shelled","380","Italy","2019","2019",NA
"0142","Groundnuts, excluding shelled","380","Italy","2020","2020",NA
"0143","Cottonseed","380","Italy","2015","2015",NA
"0143","Cottonseed","4","Afghanistan","2015","2015",5779.965783702
"0143","Cottonseed","380","Italy","2016","2016",NA
"0143","Cottonseed","4","Afghanistan","2016","2016",6754.772434938
"0143","Cottonseed","380","Italy","2017","2017",NA
"0143","Cottonseed","4","Afghanistan","2017","2017",4209.9528306
"0143","Cottonseed","380","Italy","2018","2018",0
"0143","Cottonseed","4","Afghanistan","2018","2018",6577.743037668
"0143","Cottonseed","380","Italy","2019","2019",0
"0143","Cottonseed","4","Afghanistan","2019","2019",8371.993227312
"0143","Cottonseed","380","Italy","2020","2020",NA
"0143","Cottonseed","4","Afghanistan","2020","2020",6386.621748078
"01441","Linseed","380","Italy","2015","2015",831.475016
"01441","Linseed","4","Afghanistan","2015","2015",1090.063745976
"01441","Linseed","380","Italy","2016","2016",831.475016
"01441","Linseed","4","Afghanistan","2016","2016",91.046514252
"01441","Linseed","380","Italy","2017","2017",831.475016
"01441","Linseed","4","Afghanistan","2017","2017",8568.765777388
"01441","Linseed","380","Italy","2018","2018",0
"01441","Linseed","4","Afghanistan","2018","2018",12606.824192592
"01441","Linseed","380","Italy","2019","2019",831.475016
"01441","Linseed","4","Afghanistan","2019","2019",22865.56294
"01441","Linseed","380","Italy","2020","2020",0
"01441","Linseed","4","Afghanistan","2020","2020",14224.874573728
"01442","Mustard seed","380","Italy","2015","2015",NA
"01442","Mustard seed","380","Italy","2016","2016",NA
"01442","Mustard seed","380","Italy","2017","2017",NA
"01442","Mustard seed","380","Italy","2018","2018",NA
"01442","Mustard seed","380","Italy","2019","2019",NA
"01442","Mustard seed","380","Italy","2020","2020",NA
"01443","Rapeseed or colza seed","380","Italy","2015","2015",13199.333916007
"01443","Rapeseed or colza seed","380","Italy","2016","2016",16373.982247175
"01443","Rapeseed or colza seed","380","Italy","2017","2017",19486.096776796
"01443","Rapeseed or colza seed","380","Italy","2018","2018",18666.1046723
"01443","Rapeseed or colza seed","380","Italy","2019","2019",17862.09865241
"01443","Rapeseed or colza seed","380","Italy","2020","2020",22893.01351371
"01444","Sesame seed","4","Afghanistan","2015","2015",36246.169376
"01444","Sesame seed","380","Italy","2015","2015",337.542452314
"01444","Sesame seed","4","Afghanistan","2016","2016",36246.169376
"01444","Sesame seed","380","Italy","2016","2016",338.675145107
"01444","Sesame seed","4","Afghanistan","2017","2017",36246.169376
"01444","Sesame seed","380","Italy","2017","2017",347.736687451
"01444","Sesame seed","4","Afghanistan","2018","2018",36246.169376
"01444","Sesame seed","380","Italy","2018","2018",340.940530693
"01444","Sesame seed","4","Afghanistan","2019","2019",37536.306467227
"01444","Sesame seed","380","Italy","2019","2019",340.940530693
"01444","Sesame seed","4","Afghanistan","2020","2020",47408.856851015
"01444","Sesame seed","380","Italy","2020","2020",340.940530693
"01445","Sunflower seed","380","Italy","2015","2015",121049.138685123
"01445","Sunflower seed","4","Afghanistan","2015","2015",147.890539467
"01445","Sunflower seed","380","Italy","2016","2016",130969.030843959
"01445","Sunflower seed","4","Afghanistan","2016","2016",318.721195617
"01445","Sunflower seed","380","Italy","2017","2017",118932.790899219
"01445","Sunflower seed","4","Afghanistan","2017","2017",358.744377915
"01445","Sunflower seed","380","Italy","2018","2018",122246.41754094
"01445","Sunflower seed","4","Afghanistan","2018","2018",382.660669776
"01445","Sunflower seed","380","Italy","2019","2019",143854.05510597
"01445","Sunflower seed","4","Afghanistan","2019","2019",430.493253498
"01445","Sunflower seed","380","Italy","2020","2020",146367.70618932
"01445","Sunflower seed","4","Afghanistan","2020","2020",188.889896943
"01447","Castor oil seeds","380","Italy","2015","2015",NA
"01447","Castor oil seeds","380","Italy","2016","2016",NA
"01447","Castor oil seeds","380","Italy","2017","2017",NA
"01447","Castor oil seeds","380","Italy","2018","2018",NA
"01447","Castor oil seeds","380","Italy","2019","2019",NA
"01447","Castor oil seeds","380","Italy","2020","2020",NA
"01448","Poppy seed","380","Italy","2015","2015",NA
"01448","Poppy seed","380","Italy","2016","2016",NA
"01448","Poppy seed","380","Italy","2017","2017",NA
"01448","Poppy seed","380","Italy","2018","2018",NA
"01448","Poppy seed","380","Italy","2019","2019",NA
"01448","Poppy seed","380","Italy","2020","2020",NA
"01449.02","Hempseed","380","Italy","2015","2015",NA
"01449.02","Hempseed","380","Italy","2016","2016",NA
"01449.02","Hempseed","380","Italy","2017","2017",NA
"01449.02","Hempseed","380","Italy","2018","2018",NA
"01449.02","Hempseed","380","Italy","2019","2019",NA
"01449.02","Hempseed","380","Italy","2020","2020",NA
"01449.90","Other oil seeds, n.e.","380","Italy","2015","2015",42818.799175632
"01449.90","Other oil seeds, n.e.","380","Italy","2016","2016",43054.786276973
"01449.90","Other oil seeds, n.e.","380","Italy","2017","2017",43172.55421856
"01449.90","Other oil seeds, n.e.","380","Italy","2018","2018",0
"01449.90","Other oil seeds, n.e.","380","Italy","2019","2019",0
"01449.90","Other oil seeds, n.e.","380","Italy","2020","2020",18.04872668
"01450","Olives","380","Italy","2015","2015",2915834.11839547
"01450","Olives","4","Afghanistan","2015","2015",7972.176210512
"01450","Olives","380","Italy","2016","2016",2174747.14753951
"01450","Olives","4","Afghanistan","2016","2016",8536.587508071
"01450","Olives","380","Italy","2017","2017",2771882.56401615
"01450","Olives","4","Afghanistan","2017","2017",8996.438678672
"01450","Olives","380","Italy","2018","2018",2084310.10630134
"01450","Olives","4","Afghanistan","2018","2018",9110.601266269
"01450","Olives","380","Italy","2019","2019",2340983.87918181
"01450","Olives","4","Afghanistan","2019","2019",8964.430476542
"01450","Olives","380","Italy","2020","2020",2354896.77770765
"01450","Olives","4","Afghanistan","2020","2020",9202.358112375
"01510","Potatoes","380","Italy","2015","2015",342643.639482474
"01510","Potatoes","4","Afghanistan","2015","2015",81964.873618518
"01510","Potatoes","380","Italy","2016","2016",342598.34078008
"01510","Potatoes","4","Afghanistan","2016","2016",107094.391338858
"01510","Potatoes","380","Italy","2017","2017",337096.425457264
"01510","Potatoes","4","Afghanistan","2017","2017",128436.587162356
"01510","Potatoes","380","Italy","2018","2018",327251.8411624
"01510","Potatoes","4","Afghanistan","2018","2018",154086.664556616
"01510","Potatoes","380","Italy","2019","2019",334967.63671382
"01510","Potatoes","4","Afghanistan","2019","2019",230528.349981028
"01510","Potatoes","380","Italy","2020","2020",359048.5270141
"01510","Potatoes","4","Afghanistan","2020","2020",214078.91455423
"01530","Sweet potatoes","380","Italy","2015","2015",1559.78656439
"01530","Sweet potatoes","380","Italy","2016","2016",2574.36086472
"01530","Sweet potatoes","380","Italy","2017","2017",1755.50908678
"01530","Sweet potatoes","380","Italy","2018","2018",1963.21883863
"01530","Sweet potatoes","380","Italy","2019","2019",1963.21883863
"01530","Sweet potatoes","380","Italy","2020","2020",1963.21883863
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2015","2015",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2015","2015",39124.283832
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2016","2016",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2016","2016",37674.511758892
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2017","2017",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2017","2017",41176.135161856
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2018","2018",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2018","2018",39326.425965132
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2019","2019",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2019","2019",39391.633104852
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","380","Italy","2020","2020",NA
"01654","Anise, badian, coriander, cumin, caraway, fennel and juniper berries, raw","4","Afghanistan","2020","2020",39965.455934388
"01659","Hop cones (fresh and dried)","380","Italy","2015","2015",NA
"01659","Hop cones (fresh and dried)","380","Italy","2016","2016",NA
"01659","Hop cones (fresh and dried)","380","Italy","2017","2017",NA
"01659","Hop cones (fresh and dried)","380","Italy","2018","2018",0
"01659","Hop cones (fresh and dried)","380","Italy","2019","2019",264.2518365
"01659","Hop cones (fresh and dried)","380","Italy","2020","2020",369.9525711
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2015","2015",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2015","2015",4.697241185
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2016","2016",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2016","2016",5.636689422
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2017","2017",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2017","2017",1.878896474
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2018","2018",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2018","2018",2.818344711
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2019","2019",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2019","2019",3.757792948
"01699","Other stimulant, spice and aromatic crops, n.e.","380","Italy","2020","2020",NA
"01699","Other stimulant, spice and aromatic crops, n.e.","4","Afghanistan","2020","2020",3.757792948
"01701","Beans, dry","380","Italy","2015","2015",9310.75795993
"01701","Beans, dry","380","Italy","2016","2016",8919.728992804
"01701","Beans, dry","380","Italy","2017","2017",8518.790909552
"01701","Beans, dry","380","Italy","2018","2018",8916.680033996
"01701","Beans, dry","380","Italy","2019","2019",8916.680033996
"01701","Beans, dry","380","Italy","2020","2020",8916.680033996
"01702","Broad beans and horse beans, dry","380","Italy","2015","2015",26899.155359324
"01702","Broad beans and horse beans, dry","380","Italy","2016","2016",33640.089343171
"01702","Broad beans and horse beans, dry","380","Italy","2017","2017",31202.845311089
"01702","Broad beans and horse beans, dry","380","Italy","2018","2018",38761.79992508
"01702","Broad beans and horse beans, dry","380","Italy","2019","2019",44503.41676577
"01702","Broad beans and horse beans, dry","380","Italy","2020","2020",45384.67254331
"01703","Chick peas, dry","380","Italy","2015","2015",11678.421697191
"01703","Chick peas, dry","380","Italy","2016","2016",15557.293696968
"01703","Chick peas, dry","380","Italy","2017","2017",23370.081865371
"01703","Chick peas, dry","380","Italy","2018","2018",16868.59908651
"01703","Chick peas, dry","380","Italy","2019","2019",16868.59908651
"01703","Chick peas, dry","380","Italy","2020","2020",16868.59908651
"01704","Lentils, dry","380","Italy","2015","2015",1696.885945308
"01704","Lentils, dry","380","Italy","2016","2016",1964.671489012
"01704","Lentils, dry","380","Italy","2017","2017",2502.291955581
"01704","Lentils, dry","380","Italy","2018","2018",2054.844172096
"01704","Lentils, dry","380","Italy","2019","2019",2054.844172096
"01704","Lentils, dry","380","Italy","2020","2020",2054.844172096
"01705","Peas, dry","380","Italy","2015","2015",8905.88740928
"01705","Peas, dry","380","Italy","2016","2016",13410.080694667
"01705","Peas, dry","380","Italy","2017","2017",16470.461288016
"01705","Peas, dry","380","Italy","2018","2018",17278.91493927
"01705","Peas, dry","380","Italy","2019","2019",24090.69696306
"01705","Peas, dry","380","Italy","2020","2020",21002.14607036
"01709.01","Vetches","380","Italy","2015","2015",3341.87466695
"01709.01","Vetches","380","Italy","2016","2016",3329.319557704
"01709.01","Vetches","380","Italy","2017","2017",3360.707330819
"01709.01","Vetches","380","Italy","2018","2018",3344.090274464
"01709.01","Vetches","380","Italy","2019","2019",3344.090274464
"01709.01","Vetches","380","Italy","2020","2020",3344.090274464
"01709.02","Lupins","380","Italy","2015","2015",1415.341851064
"01709.02","Lupins","380","Italy","2016","2016",1406.100992306
"01709.02","Lupins","380","Italy","2017","2017",1407.293361178
"01709.02","Lupins","380","Italy","2018","2018",268.2829962
"01709.02","Lupins","380","Italy","2019","2019",241.45469658
"01709.02","Lupins","380","Italy","2020","2020",307.03498454
"01709.90","Pulses n.e.","380","Italy","2015","2015",4340.154422417
"01709.90","Pulses n.e.","4","Afghanistan","2015","2015",88896.064779181
"01709.90","Pulses n.e.","380","Italy","2016","2016",4513.527212865
"01709.90","Pulses n.e.","4","Afghanistan","2016","2016",67559.542231643
"01709.90","Pulses n.e.","380","Italy","2017","2017",3574.980279959
"01709.90","Pulses n.e.","4","Afghanistan","2017","2017",30260.220117424
"01709.90","Pulses n.e.","380","Italy","2018","2018",43701.61251533
"01709.90","Pulses n.e.","4","Afghanistan","2018","2018",34176.111317062
"01709.90","Pulses n.e.","380","Italy","2019","2019",34574.53532588
"01709.90","Pulses n.e.","4","Afghanistan","2019","2019",36379.112687995
"01709.90","Pulses n.e.","380","Italy","2020","2020",32249.00606939
"01709.90","Pulses n.e.","4","Afghanistan","2020","2020",36304.929138236
"01801","Sugar beet","380","Italy","2015","2015",102885.362195692
"01801","Sugar beet","4","Afghanistan","2015","2015",211.76535643
"01801","Sugar beet","380","Italy","2016","2016",96403.740504258
"01801","Sugar beet","4","Afghanistan","2016","2016",74.530098748
"01801","Sugar beet","380","Italy","2017","2017",115590.812468352
"01801","Sugar beet","4","Afghanistan","2017","2017",99.027982028
"01801","Sugar beet","380","Italy","2018","2018",91465.67390472
"01801","Sugar beet","4","Afghanistan","2018","2018",252.657976982
"01801","Sugar beet","380","Italy","2019","2019",83817.15207682
"01801","Sugar beet","4","Afghanistan","2019","2019",437.381439176
"01801","Sugar beet","380","Italy","2020","2020",86265.05595226
"01801","Sugar beet","4","Afghanistan","2020","2020",237.064132048
"01802","Sugar cane","4","Afghanistan","2015","2015",2085.06595662
"01802","Sugar cane","4","Afghanistan","2016","2016",779.37497892
"01802","Sugar cane","4","Afghanistan","2017","2017",1513.73077425
"01802","Sugar cane","4","Afghanistan","2018","2018",1141.00963713
"01802","Sugar cane","4","Afghanistan","2019","2019",1639.99095714
"01802","Sugar cane","4","Afghanistan","2020","2020",1808.48748276
"01921.01","Seed cotton, unginned","380","Italy","2015","2015",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2015","2015",45478.986791574
"01921.01","Seed cotton, unginned","380","Italy","2016","2016",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2016","2016",53149.207732572
"01921.01","Seed cotton, unginned","380","Italy","2017","2017",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2017","2017",33125.91308439
"01921.01","Seed cotton, unginned","380","Italy","2018","2018",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2018","2018",51756.42389715
"01921.01","Seed cotton, unginned","380","Italy","2019","2019",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2019","2019",65873.45022384
"01921.01","Seed cotton, unginned","380","Italy","2020","2020",NA
"01921.01","Seed cotton, unginned","4","Afghanistan","2020","2020",66722.093414634
"01921.02","Cotton lint, ginned","380","Italy","2015","2015",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2015","2015",33445.766400408
"01921.02","Cotton lint, ginned","380","Italy","2016","2016",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2016","2016",39085.310059616
"01921.02","Cotton lint, ginned","380","Italy","2017","2017",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2017","2017",24361.061858608
"01921.02","Cotton lint, ginned","380","Italy","2018","2018",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2018","2018",38061.398608496
"01921.02","Cotton lint, ginned","380","Italy","2019","2019",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2019","2019",48443.057655048
"01921.02","Cotton lint, ginned","380","Italy","2020","2020",NA
"01921.02","Cotton lint, ginned","4","Afghanistan","2020","2020",36955.172707384
"01929.02","True hemp, raw or retted","380","Italy","2015","2015",1582.04043894
"01929.02","True hemp, raw or retted","380","Italy","2016","2016",2565.67433265
"01929.02","True hemp, raw or retted","380","Italy","2017","2017",1727.50389084
"01929.02","True hemp, raw or retted","380","Italy","2018","2018",2322.3992493
"01929.02","True hemp, raw or retted","380","Italy","2019","2019",3867.3214281
"01929.02","True hemp, raw or retted","380","Italy","2020","2020",2342.4631737
"01929.06","Agave fibres, raw, n.e.c. ","380","Italy","2015","2015",NA
"01929.06","Agave fibres, raw, n.e.c. ","380","Italy","2016","2016",NA
"01929.06","Agave fibres, raw, n.e.c. ","380","Italy","2017","2017",NA
